Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Nobuhiro Kawanaka,Japanese,Male,1941,-1,1,"{""Media and Performance Art"": 1}"
Noriyuki Okuda,Japanese,Male,1940,-1,1,"{""Media and Performance Art"": 1}"
Osamu Nagata,Japanese,Male,1950,-1,1,"{""Media and Performance Art"": 1}"
Paul Wong,Canadian,Male,1954,-1,1,"{""Media and Performance Art"": 1}"
Rafael França,Brazilian,Male,1957,1991,1,"{""Media and Performance Art"": 1}"
Robert Morin,Canadian,Male,1949,-1,1,"{""Media and Performance Art"": 1}"
Roman Coppola,American,Male,1965,-1,1,"{""Media and Performance Art"": 1}"
Ros Barron,American,Female,1933,-1,1,"{""Media and Performance Art"": 1}"
Sara Diamond,American,Female,1954,-1,1,"{""Media and Performance Art"": 1}"
Satoshi Ono,Japanese,Male,1977,-1,1,"{""Media and Performance Art"": 1}"
Shoichiro Azuma,Japanese,Male,1957,-1,1,"{""Media and Performance Art"": 1}"
Steve Fagin,American,Male,1946,-1,1,"{""Media and Performance Art"": 1}"
Susan Rynard,Canadian,Female,1961,-1,1,"{""Media and Performance Art"": 1}"
Tetsuo Mizuno,Japanese,Male,1948,-1,1,"{""Media and Performance Art"": 1}"
Tirtza Even,Israeli,Female,1963,-1,1,"{""Media and Performance Art"": 1}"
Tom Sherman,Canadian,Male,1947,-1,4,"{""Media and Performance Art"": 4}"
Tsurumaki Kazuya,Japanese,Male,1966,-1,1,"{""Film"": 1}"
Vern Hume,Canadian,Male,1956,-1,1,"{""Media and Performance Art"": 1}"
Vincent Carelli,Brazilian,Male,1953,-1,2,"{""Media and Performance Art"": 2}"
Wang Jianwei,Chinese,Male,1958,-1,2,"{""Media and Performance Art"": 2}"
Xu Zhen,Chinese,Male,1977,-1,2,"{""Media and Performance Art"": 1, ""Prints & Illustrated Books"": 1}"
Yang Zhenzhong,Chinese,Male,1968,-1,2,"{""Media and Performance Art"": 2}"
Yau Ching,Chinese,Female,1966,-1,1,"{""Media and Performance Art"": 1}"
Yoshiyuki Tomino,Japanese,Male,1941,-1,1,"{""Film"": 1}"
Zhang Yuan,Chinese,Female,1963,-1,3,"{""Media and Performance Art"": 1, ""Film"": 2}"
Perry Hoberman,American,Male,1954,-1,1,"{""Media and Performance Art"": 1}"
Willem de Ridder,Dutch,Male,1939,-1,30,"{""Prints & Illustrated Books"": 30}"
German Bobe,Chilean,Male,1963,-1,1,"{""Media and Performance Art"": 1}"
Henry Flynt,American,Male,1940,-1,45,"{""Prints & Illustrated Books"": 45}"
James Victore,American,Male,1962,-1,9,"{""Architecture & Design"": 9}"
Esther Bubley,American,Female,1921,1998,2,"{""Photography"": 2}"
Charles Martin,French,Male,1884,1934,1,"{""Prints & Illustrated Books"": 1}"
Alfred Choubrac,French,Male,1853,1902,1,"{""Architecture & Design"": 1}"
Jorre van Ast,Dutch,Male,1980,-1,7,"{""Architecture & Design"": 7}"
Tabaimo,Japanese,Female,1975,-1,4,"{""Prints & Illustrated Books"": 3, ""Drawings"": 1}"
Eder Santos,Brazilian,Male,1960,-1,1,"{""Media and Performance Art"": 1}"
Alan Scarritt,American,Male,1945,-1,1,"{""Media and Performance Art"": 1}"
Sandra Llano-Mejia,Colombian,Female,1951,-1,2,"{""Media and Performance Art"": 2}"
Rita Myers,American,Female,1947,-1,1,"{""Media and Performance Art"": 1}"
François Girard,Canadian,Male,1963,-1,1,"{""Media and Performance Art"": 1}"
Silvia Bächli,Swiss,Female,1956,-1,4,"{""Drawings"": 4}"
Blake Rayne,American,Male,1969,-1,1,"{""Painting & Sculpture"": 1}"
Christian Jankowski,German,Male,1968,-1,2,"{""Prints & Illustrated Books"": 2}"
Gedi Sibony,American,Male,1973,-1,4,"{""Painting & Sculpture"": 4}"
Jordi Canudas,Spanish,Male,1975,-1,2,"{""Architecture & Design"": 2}"
Klara Liden,Swedish,Female,1979,-1,5,"{""Media and Performance Art"": 3, ""Drawings"": 1, ""Painting & Sculpture"": 1}"
Lutz Mommartz,German,Male,1934,-1,5,"{""Media and Performance Art"": 5}"
Susanne Bier,Danish,Female,1960,-1,2,"{""Film"": 2}"
Bent Hamer,Norwegian,Male,1956,-1,2,"{""Film"": 2}"
Daniel Burman,Argentine,Male,1973,-1,1,"{""Film"": 1}"
Patrice Chéreau,French,Male,1944,-1,1,"{""Film"": 1}"
Lars von Trier,Danish,Male,1956,-1,2,"{""Film"": 2}"
Patrice Leconte,French,Male,1947,-1,1,"{""Film"": 1}"
Hirokazu Koreeda,Japanese,Male,1962,-1,1,"{""Film"": 1}"
Hans-Christian Schmid,German,Male,1965,-1,1,"{""Film"": 1}"
Cédric Klapisch,French,Male,1961,-1,2,"{""Film"": 2}"
Hans Weingartner,Austrian,Male,1970,-1,1,"{""Film"": 1}"
Guy Maddin,Canadian,Male,1956,-1,8,"{""Film"": 8}"
Ken Loach,British,Male,1936,-1,2,"{""Film"": 2}"
Lukas Moodysson,Swedish,Male,1969,-1,2,"{""Film"": 2}"
Kevin Macdonald,Scottish,Male,1967,-1,1,"{""Film"": 1}"
Michael Cuesta,American,Male,1963,-1,1,"{""Film"": 1}"
Alfonso Cuaron,Mexican,Male,1961,-1,1,"{""Film"": 1}"
Jim Gaylord,American,Male,1974,-1,1,"{""Prints & Illustrated Books"": 1}"
Richard Tipping,Australian,Male,1949,-1,5,"{""Prints & Illustrated Books"": 5}"
Judit Reigl,Hungarian,Female,1923,-1,1,"{""Painting & Sculpture"": 1}"
Feng Mengbo,Chinese,Male,1966,-1,1,"{""Media and Performance Art"": 1}"
Rudolf Baschant,German,Male,1897,1955,2,"{""Architecture & Design"": 2}"
Moris (Israel Meza Moreno),Mexican,Male,1978,-1,10,"{""Drawings"": 10}"
Tim Burton,American,Male,1958,-1,14,"{""Film"": 14}"
Carlo Brogi,Italian,Male,1850,1925,1,"{""Photography"": 1}"
Olaf Martin Peder Væring,Norwegian,Male,1837,1906,1,"{""Photography"": 1}"
Peter Downsbrough,American,Male,1940,-1,7,"{""Painting & Sculpture"": 2, ""Drawings"": 4, ""Prints & Illustrated Books"": 1}"
Robert H. Bergman,American,Male,1944,-1,1,"{""Photography"": 1}"
Paul Gavarni,French,Male,1804,1866,3,"{""Prints & Illustrated Books"": 3}"
Adolf Fassbender,American,Male,1884,1980,1,"{""Photography"": 1}"
Matt Connors,American,Male,1976,-1,2,"{""Painting & Sculpture"": 2}"
Beatriz González,Colombian,Female,1938,-1,32,"{""Painting & Sculpture"": 2, ""Prints & Illustrated Books"": 14, ""Drawings"": 16}"
Francesco Cangiullo,Italian,Male,1884,1977,3,"{""Drawings"": 1, ""Architecture & Design"": 2}"
Alison Knowles,American,Female,1933,-1,33,"{""Prints & Illustrated Books"": 33}"
John Moffat,Scottish,Male,1819,1894,1,"{""Photography"": 1}"
Robert Mallet-Stevens,French,Male,1886,1945,1,"{""Architecture & Design"": 1}"
Sue de Beer,American,Female,1973,-1,3,"{""Media and Performance Art"": 2, ""Prints & Illustrated Books"": 1}"
Shay Alkalay,Israeli,Male,1976,-1,3,"{""Architecture & Design"": 3}"
Lene Berg,Norwegian,Female,1965,-1,1,"{""Prints & Illustrated Books"": 1}"
Rosa Loy,German,Female,1958,-1,2,"{""Prints & Illustrated Books"": 2}"
